Countries,Average GDP per Capita,Connections
Belarus + Tanzania,3885,3
Brunei + Macau,19180,3
Brunei + South Africa,17810,3
Brunei + New Zealand,35080,3
Brunei + Ethiopia,15290,3
Brunei + Maldives,19790,3
Indonesia + South Africa,4880,3
Indonesia + Sri Lanka,4000,3
Indonesia + Maldives,6860,3
Puerto Rico + Saint Kitts and Nevis,31375,3
Chile + Honduras,9745,3
Chile + Denmark,39050,3
Chile + Jamaica,11110,3
Chile + Trinidad and Tobago,16810,3
Chile + Haiti,8995,3
Chile + Jordan,10725,3
Chile + Puerto Rico,31120,3
El Salvador + Uruguay,10610,3
El Salvador + Paraguay,5055,3
Georgia + South Africa,5140,3
Latvia + South Africa,12135,3
South Africa + Tajikistan,3405,3
South Africa + Ukraine,4755,3
Bahrain + South Africa,14015,3
South Africa + Uganda,3295,3
Malta + South Africa,18405,3
Ethiopia + South Africa,3330,3
Lebanon + South Africa,7140,3
Congo (Brazzaville) + South Africa,3965,3
Georgia + Tajikistan,2695,3
Georgia + Iran,4915,3
Georgia + Jordan,4405,3
Georgia + Romania,8595,3
Georgia + Qatar,267390,3
Bulgaria + Georgia,7070,3
Georgia + Lebanon,6430,3
Denmark + Iran,33215,3
Albania + Denmark,33535,3
Bermuda + Denmark,91370,3
Denmark + El Salvador,32625,3
Denmark + Luxembourg,85955,3
Denmark + Jersey,57690,3
Congo (Kinshasa) + Denmark,30780,3
Denmark + Estonia,42245,3
Armenia + Kazakhstan,6695,3
Armenia + Ukraine,4050,3
Armenia + Moldova,4465,3
Armenia + Lebanon,6435,3
Latvia + Libya,12835,3
Kuwait + Latvia,26030,3
Albania + Latvia,12230,3
Latvia + Uganda,9580,3
Latvia + Luxembourg,64650,3
Angola + Latvia,10555,3
Latvia + Mauritius,14960,3
Jamaica + Turks and Caicos Islands,17560,3
Bermuda + Jamaica,63430,3
Cayman Islands + Jamaica,55230,3
El Salvador + Jamaica,4685,3
Grenada + Jamaica,7355,3
Guyana + Jamaica,5195,3
Bermuda + Trinidad and Tobago,69130,3
El Salvador + Trinidad and Tobago,10385,3
Guyana + Trinidad and Tobago,10895,3
Barbados + Haiti,9710,3
El Salvador + Haiti,2570,3
Kazakhstan + Tajikistan,4955,3
Iran + Tajikistan,3180,3
Ethiopia + Tajikistan,885,3
Maldives + Tajikistan,5385,3
Kazakhstan + Kyrgyzstan,5135,3
Iran + Kazakhstan,7175,3
Iran + Ukraine,4530,3
Iran + Lebanon,6915,3
Belarus + Iran,6035,3
Kuwait + Ukraine,18650,3
Qatar + Ukraine,267005,3
Albania + Ukraine,4850,3
Luxembourg + Ukraine,57270,3
Angola + Ukraine,3175,3
Lithuania + Ukraine,11475,3
Mauritius + Ukraine,7580,3
Libya + Moldova,5870,3
Libya + Malta,19105,3
Angola + Libya,4970,3
Bermuda + Jordan,63045,3
Jordan + Luxembourg,57630,3
Angola + Jordan,3535,3
Jordan + Maldives,7095,3
Bolivia + Puerto Rico,24360,3
Barbados + Puerto Rico,31835,3
El Salvador + Puerto Rico,24695,3
Cayman Islands + Turks and Caicos Islands,67640,3
Moldova + Qatar,267420,3
Albania + Moldova,5265,3
Luxembourg + Moldova,57685,3
Jersey + Moldova,29420,3
Angola + Moldova,3590,3
Mauritius + Moldova,7995,3
Qatar + Romania,271555,3
Albania + Romania,9400,3
Luxembourg + Romania,61820,3
Mauritius + Romania,12130,3
Bahrain + Kuwait,27910,3
Kuwait + Sri Lanka,18865,3
Kuwait + Uganda,17190,3
Kuwait + Malta,32300,3
Ethiopia + Kuwait,17225,3
Kuwait + Lebanon,21035,3
Kuwait + Mauritius,22570,3
Kuwait + Maldives,21725,3
Bahrain + Mauritius,16840,3
Bahrain + Maldives,15995,3
Qatar + Sri Lanka,267220,3
Bulgaria + Qatar,270030,3
Mauritius + Qatar,270925,3
Albania + Bulgaria,7875,3
Bulgaria + Luxembourg,60295,3
Bulgaria + Jersey,32030,3
Bulgaria + Mauritius,10605,3
Rwanda + Uganda,750,3
Angola + Uganda,1715,3
Belarus + Uganda,3705,3
Barbados + Bermuda,70105,3
Barbados + Guyana,11870,3
Grenada + Guyana,7400,3
Luxembourg + Malta,70920,3
Lebanon + Luxembourg,59655,3
Belarus + Luxembourg,58775,3
Angola + Malta,16825,3
Lithuania + Malta,25125,3
Malta + Mauritius,21230,3
Ethiopia + Maldives,5310,3
Angola + Zimbabwe,2055,3
Angola + Gabon,5175,3
Angola + Maldives,6250,3
Angola + Belarus,4680,3
Angola + Botswana,5095,3
Estonia + Lithuania,21375,3
Central African Republic + Congo (Kinshasa),485,3
Congo (Kinshasa) + Gabon,4095,3
Botswana + Zimbabwe,4460,3
Lebanon + Mauritius,9965,3
Congo (Brazzaville) + Gabon,4870,3
Botswana + Zambia,4380,3
Belarus + Maldives,8240,3
Peru + Russia,9235,2
Benin + Russia,6230,2
Russia + Togo,6150,2
Liberia + Russia,6130,2
Guinea + Russia,6220,2
Cameroon + Russia,6600,2
Djibouti + Russia,6745,2
Burma + Russia,6490,2
Montenegro + Russia,14180,2
Guadeloupe + Russia,17145,2
Russia + Saint Lucia,10960,2
Russia + Tanzania,6345,2
Chile + Russia,14330,2
Puerto Rico + Russia,28380,2
Bahrain + Russia,16885,2
Russia + Uganda,6165,2
New Zealand + Russia,25990,2
Bermuda + Russia,66650,2
Fiji + Russia,8830,2
Guernsey + Russia,32375,2
Jersey + Russia,32970,2
Ethiopia + Russia,6200,2
Congo (Kinshasa) + Russia,6060,2
Central African Republic + Russia,6015,2
Congo (Brazzaville) + Russia,6835,2
Gabon + Russia,9625,2
Russia + Slovenia,21270,2
Mauritania + Russia,6435,2
Iceland + Russia,38225,2
Russia + Seychelles,12940,2
Russia + Turkmenistan,9295,2
Russia + Slovakia,15520,2
Azerbaijan + Ghana,3090,2
Azerbaijan + Sierra Leone,2285,2
Azerbaijan + Taiwan,15830,2
Azerbaijan + Vietnam,3335,2
Azerbaijan + Croatia,9600,2
Azerbaijan + Venezuela,3130,2
Azerbaijan + Montenegro,10385,2
Azerbaijan + Dominican Republic,6065,2
Azerbaijan + Serbia,5745,2
Azerbaijan + Kyrgyzstan,2660,2
Azerbaijan + Libya,5625,2
Azerbaijan + Kuwait,18820,2
Albania + Azerbaijan,5020,2
Azerbaijan + Lithuania,11645,2
Azerbaijan + Mauritius,7750,2
Azerbaijan + Maldives,6905,2
Azerbaijan + Turkmenistan,5500,2
Peru + Senegal,4165,2
Cyprus + Peru,15275,2
Nigeria + Peru,4530,2
Peru + Saudi Arabia,14720,2
Kenya + Peru,4320,2
Peru + Thailand,7380,2
Australia + Peru,30890,2
Malaysia + Peru,9005,2
Austria + Peru,29000,2
Peru + Turkey,7965,2
Peru + Saint Lucia,8605,2
Algeria + Peru,5435,2
Greece + Peru,13625,2
Peru + Poland,11270,2
Georgia + Peru,5655,2
Latvia + Peru,12650,2
Peru + Turks and Caicos Islands,18425,2
Peru + Qatar,268615,2
Bermuda + Peru,64295,2
Barbados + Peru,12690,2
Cayman Islands + Peru,56095,2
Grenada + Peru,8220,2
Angola + Peru,4785,2
Belarus + Peru,6775,2
Guyana + Peru,6060,2
Cote d'Ivoire + Sweden,27565,2
Cote d'Ivoire + Finland,26280,2
Cote d'Ivoire + Norway,38570,2
Brazil + Cote d'Ivoire,5620,2
Cote d'Ivoire + Guinea-Bissau,1675,2
Cote d'Ivoire + Saudi Arabia,12605,2
Cote d'Ivoire + Kenya,2205,2
China + Cote d'Ivoire,6345,2
Austria + Cote d'Ivoire,26885,2
Cote d'Ivoire + Netherlands,27905,2
Cote d'Ivoire + India,2385,2
Cote d'Ivoire + Greece,11510,2
Cote d'Ivoire + Ireland,40055,2
Cote d'Ivoire + Latvia,10535,2
Cote d'Ivoire + Libya,4950,2
Cote d'Ivoire + Jordan,3515,2
Central African Republic + Cote d'Ivoire,1545,2
Congo (Brazzaville) + Cote d'Ivoire,2365,2
Cote d'Ivoire + Equatorial Guinea,6255,2
Cape Verde + Cote d'Ivoire,2930,2
Burkina Faso + Sweden,26600,2
Burkina Faso + Finland,25315,2
Burkina Faso + Norway,37605,2
Brazil + Burkina Faso,4655,2
Burkina Faso + Gambia,590,2
Burkina Faso + Guinea-Bissau,710,2
Burkina Faso + Saudi Arabia,11640,2
Burkina Faso + Kenya,1240,2
Burkina Faso + China,5380,2
Austria + Burkina Faso,25920,2
Burkina Faso + Netherlands,26940,2
Burkina Faso + India,1420,2
Burkina Faso + Greece,10545,2
Burkina Faso + Ireland,39090,2
Burkina Faso + Latvia,9570,2
Burkina Faso + Libya,3985,2
Burkina Faso + Jordan,2550,2
Burkina Faso + Central African Republic,580,2
Burkina Faso + Congo (Brazzaville),1400,2
Burkina Faso + Equatorial Guinea,5290,2
Burkina Faso + Cape Verde,1965,2
Ghana + Niger,1260,2
Cyprus + Ghana,12925,2
Ghana + Guinea,1515,2
Ghana + Guinea-Bissau,1440,2
Ghana + Kenya,1970,2
Ghana + Thailand,5030,2
Ghana + Singapore,43075,2
Australia + Ghana,28540,2
Ghana + Taiwan,14920,2
Ghana + Malaysia,6655,2
Bahamas + Ghana,16610,2
Ghana + Venezuela,2220,2
Antigua and Barbuda + Ghana,10620,2
Dominican Republic + Ghana,5155,2
Ghana + Saint Lucia,6255,2
Ghana + Hungary,9790,2
Ghana + Latvia,10300,2
Ghana + Jamaica,3665,2
Ghana + Trinidad and Tobago,9365,2
Ghana + Iran,3790,2
Ghana + Moldova,3335,2
Ghana + Romania,7470,2
Bahrain + Ghana,12180,2
Ghana + Sri Lanka,3135,2
Bulgaria + Ghana,5945,2
Albania + Ghana,4110,2
Ghana + Uganda,1460,2
Bermuda + Ghana,61945,2
Barbados + Ghana,10340,2
Ghana + Luxembourg,56530,2
Gabon + Ghana,4920,2
Ghana + Mauritius,6840,2
Ghana + Mauritania,1730,2
Equatorial Guinea + Ghana,6020,2
Ghana + Maldives,5995,2
Cape Verde + Ghana,2695,2
Mali + Sweden,26690,2
Mali + Norway,37695,2
Brazil + Mali,4745,2
Gambia + Mali,680,2
Mali + Saudi Arabia,11730,2
China + Mali,5470,2
Austria + Mali,26010,2
Mali + Netherlands,27030,2
Denmark + Mali,30965,2
Libya + Mali,4075,2
Jordan + Mali,2640,2
Angola + Mali,1795,2
Congo (Kinshasa) + Mali,715,2
Central African Republic + Mali,670,2
Congo (Brazzaville) + Mali,1490,2
Cape Verde + Mali,2055,2
Cyprus + Senegal,12560,2
Djibouti + Senegal,1675,2
Senegal + Thailand,4665,2
Senegal + Singapore,42710,2
Australia + Senegal,28175,2
Malaysia + Senegal,6290,2
Senegal + Vietnam,2060,2
Senegal + Venezuela,1855,2
Guadeloupe + Senegal,12075,2
Martinique + Senegal,12835,2
Israel + Senegal,22465,2
Cuba + Senegal,5150,2
Czech Republic + Senegal,12315,2
Panama + Senegal,8470,2
Chile + Senegal,9260,2
Senegal + Ukraine,2555,2
Senegal + Uganda,1095,2
El Salvador + Senegal,2835,2
Malta + Senegal,16205,2
Congo (Brazzaville) + Senegal,1765,2
Mauritius + Senegal,6475,2
Benin + Switzerland,41425,2
Benin + Egypt,2175,2
Benin + Sweden,26675,2
Benin + Finland,25390,2
Benin + Norway,37680,2
Benin + Brazil,4730,2
Benin + Gambia,665,2
Benin + Guinea-Bissau,785,2
Benin + Saudi Arabia,11715,2
Benin + Kenya,1315,2
Benin + Netherlands,27015,2
Benin + Turkey,4960,2
Benin + India,1495,2
Benin + Greece,10620,2
Benin + Ireland,39165,2
Benin + Tunisia,2130,2
Benin + Latvia,9645,2
Benin + Lebanon,4650,2
Benin + Cape Verde,2040,2
Switzerland + Togo,41345,2
Spain + Togo,15355,2
Egypt + Togo,2095,2
Sweden + Togo,26595,2
Norway + Togo,37600,2
Brazil + Togo,4650,2
Guinea + Togo,780,2
Canada + Togo,23120,2
Saudi Arabia + Togo,11635,2
Germany + Togo,23550,2
Netherlands + Togo,26935,2
Togo + Turkey,4880,2
Portugal + Togo,11875,2
Togo + Tunisia,2050,2
Denmark + Togo,30870,2
Angola + Togo,1700,2
Congo (Kinshasa) + Togo,620,2
Lebanon + Togo,4570,2
Central African Republic + Togo,575,2
Congo (Brazzaville) + Togo,1395,2
Mauritania + Togo,995,2
Equatorial Guinea + Togo,5285,2
Niger + Sweden,26410,2
Niger + Norway,37415,2
Niger + United States,32540,2
Brazil + Niger,4465,2
Niger + Nigeria,1260,2
Liberia + Niger,505,2
Niger + Sierra Leone,455,2
Guinea + Niger,595,2
Cameroon + Niger,975,2
Niger + Saudi Arabia,11450,2
China + Niger,5190,2
Austria + Niger,25730,2
Netherlands + Niger,26750,2
Denmark + Niger,30685,2
Libya + Niger,3795,2
Jordan + Niger,2360,2
Angola + Niger,1515,2
Congo (Kinshasa) + Niger,435,2
Central African Republic + Niger,390,2
Congo (Brazzaville) + Niger,1210,2
Gabon + Niger,4000,2
Mauritania + Niger,810,2
Colombia + Cyprus,15020,2
Colombia + Egypt,4925,2
Colombia + Nigeria,4275,2
Colombia + Saudi Arabia,14465,2
Colombia + Kenya,4065,2
Australia + Colombia,30635,2
Colombia + Malaysia,8750,2
Colombia + Vietnam,4520,2
Colombia + Croatia,10785,2
Colombia + Dominica,7110,2
Colombia + Saint Lucia,8350,2
Colombia + Serbia,6930,2
Colombia + Hungary,11885,2
Colombia + Czech Republic,14775,2
Colombia + Tunisia,4880,2
Colombia + Saint Kitts and Nevis,11975,2
Colombia + South Africa,6110,2
Colombia + Virgin Islands,23950,2
Colombia + Turks and Caicos Islands,18170,2
Colombia + Moldova,5430,2
Colombia + Romania,9565,2
Bulgaria + Colombia,8040,2
Bermuda + Colombia,64040,2
Cayman Islands + Colombia,55840,2
Colombia + Grenada,7965,2
Colombia + Mauritius,8935,2
Colombia + Guyana,5805,2
Ecuador + Sweden,29280,2
Ecuador + Finland,27995,2
Ecuador + Norway,40285,2
Ecuador + United Arab Emirates,24325,2
Ecuador + Hong Kong,27175,2
Ecuador + Japan,23150,2
Ecuador + Taiwan,16870,2
Bahamas + Ecuador,18560,2
Ecuador + Morocco,4650,2
Ecuador + India,4100,2
Ecuador + Ireland,41770,2
Ecuador + Portugal,14560,2
Ecuador + Nicaragua,4025,2
Ecuador + South Africa,5965,2
Denmark + Ecuador,33555,2
Ecuador + Jamaica,5615,2
Ecuador + Trinidad and Tobago,11315,2
Ecuador + Haiti,3500,2
Ecuador + Qatar,268215,2
Gambia + Italy,16895,2
Guinea + Italy,17090,2
Cambodia + Italy,17475,2
Italy + Montenegro,25050,2
Italy + Northern Mariana Islands,24325,2
Guatemala + Italy,18915,2
Afghanistan + Italy,16940,2
Italy + Pakistan,17325,2
Italy + Macedonia,19830,2
Bosnia and Herzegovina + Italy,19635,2
Italy + Macau,20960,2
Italy + Paraguay,19610,2
Belize + Italy,18870,2
Honduras + Italy,17875,2
Guam + Italy,34675,2
Haiti + Italy,17125,2
Italy + Kyrgyzstan,17325,2
Chad + Italy,17010,2
Italy + Turks and Caicos Islands,31650,2
Bolivia + Italy,18440,2
Cayman Islands + Italy,69320,2
Grenada + Italy,21445,2
Fiji + Italy,19700,2
Guernsey + Italy,43245,2
Italy + Rwanda,17045,2
Central African Republic + Italy,16885,2
Congo (Brazzaville) + Italy,17705,2
Italy + Slovenia,32140,2
Italy + Mauritania,17305,2
Equatorial Guinea + Italy,21595,2
Italy + Zambia,17295,2
Iceland + Italy,49095,2
Italy + Seychelles,23810,2
Italy + Turkmenistan,20165,2
Isle of Man + Italy,55985,2
Guyana + Italy,19285,2
Italy + Slovakia,26390,2
Philippines + Switzerland,42660,2
Liberia + Switzerland,41325,2
Gambia + Switzerland,41220,2
Guinea + Switzerland,41415,2
Cameroon + Switzerland,41795,2
Djibouti + Switzerland,41940,2
Burma + Switzerland,41685,2
Aruba + Switzerland,57710,2
Switzerland + Uzbekistan,41815,2
Nepal + Switzerland,41505,2
Costa Rica + Switzerland,46980,2
Afghanistan + Switzerland,41265,2
Pakistan + Switzerland,41650,2
Bosnia and Herzegovina + Switzerland,43960,2
Switzerland + Tanzania,41540,2
Brunei + Switzerland,55875,2
Indonesia + Switzerland,42945,2
Haiti + Switzerland,41450,2
Puerto Rico + Switzerland,63575,2
Switzerland + Turks and Caicos Islands,55975,2
Switzerland + Uganda,41360,2
New Zealand + Switzerland,61185,2
Cayman Islands + Switzerland,93645,2
Grenada + Switzerland,45770,2
Guernsey + Switzerland,67570,2
Congo (Kinshasa) + Switzerland,41255,2
Central African Republic + Switzerland,41210,2
Congo (Brazzaville) + Switzerland,42030,2
Gabon + Switzerland,44820,2
Slovenia + Switzerland,56465,2
Mauritania + Switzerland,41630,2
Iceland + Switzerland,73420,2
Seychelles + Switzerland,48135,2
Switzerland + Turkmenistan,44490,2
Isle of Man + Switzerland,80310,2
Guyana + Switzerland,43610,2
France + Montenegro,28610,2
France + French Guiana,28120,2
Dominica + France,24150,2
France + Northern Mariana Islands,27885,2
France + Oman,27970,2
Afghanistan + France,20500,2
France + Macedonia,23390,2
Bosnia and Herzegovina + France,23195,2
France + Nicaragua,21210,2
Belize + France,22430,2
France + Kyrgyzstan,20885,2
Chad + France,20570,2
France + Turks and Caicos Islands,35210,2
Cayman Islands + France,72880,2
France + Grenada,25005,2
Fiji + France,23260,2
France + Guernsey,46805,2
Burundi + France,20380,2
France + Laos,21565,2
France + Slovenia,35700,2
France + Reunion,31525,2
France + Palau,28835,2
Cape Verde + France,21830,2
France + Iceland,52655,2
France + Seychelles,27370,2
France + Turkmenistan,23725,2
France + Isle of Man,59545,2
France + Namibia,23225,2
France + Guyana,22845,2
France + Slovakia,29950,2
Guinea + United Kingdom,22925,2
Somalia + United Kingdom,22555,2
Aruba + United Kingdom,39220,2
Montenegro + United Kingdom,30885,2
Northern Mariana Islands + United Kingdom,30160,2
Guatemala + United Kingdom,24750,2
Afghanistan + United Kingdom,22775,2
Macedonia + United Kingdom,25665,2
Bosnia and Herzegovina + United Kingdom,25470,2
Saint Kitts and Nevis + United Kingdom,31290,2
Paraguay + United Kingdom,25445,2
Belize + United Kingdom,24705,2
Honduras + United Kingdom,23710,2
Guam + United Kingdom,40510,2
Haiti + United Kingdom,22960,2
Kyrgyzstan + United Kingdom,23160,2
Chad + United Kingdom,22845,2
Puerto Rico + United Kingdom,45085,2
Bolivia + United Kingdom,24275,2
Fiji + United Kingdom,25535,2
Burundi + United Kingdom,22655,2
Central African Republic + United Kingdom,22720,2
Laos + United Kingdom,23840,2
Slovenia + United Kingdom,37975,2
Mauritania + United Kingdom,23140,2
Equatorial Guinea + United Kingdom,27430,2
Reunion + United Kingdom,33800,2
Iceland + United Kingdom,54930,2
Seychelles + United Kingdom,29645,2
Turkmenistan + United Kingdom,26000,2
Isle of Man + United Kingdom,61820,2
Namibia + United Kingdom,25500,2
Slovakia + United Kingdom,32225,2
Philippines + Spain,16670,2
Liberia + Spain,15335,2
Djibouti + Spain,15950,2
Spain + Uzbekistan,15825,2
Oman + Spain,22745,2
Pakistan + Spain,15660,2
Macedonia + Spain,18165,2
Bosnia and Herzegovina + Spain,17970,2
Spain + Tanzania,15550,2
Brunei + Spain,29885,2
Indonesia + Spain,16955,2
Paraguay + Spain,17945,2
Haiti + Spain,15460,2
Spain + Tajikistan,15480,2
Spain + Turks and Caicos Islands,29985,2
Spain + Sri Lanka,17045,2
New Zealand + Spain,35195,2
Cayman Islands + Spain,67655,2
Grenada + Spain,19780,2
Guernsey + Spain,41580,2
Ethiopia + Spain,15405,2
Central African Republic + Spain,15220,2
Congo (Brazzaville) + Spain,16040,2
Gabon + Spain,18830,2
Slovenia + Spain,30475,2
Iceland + Spain,47430,2
Seychelles + Spain,22145,2
Spain + Turkmenistan,18500,2
Isle of Man + Spain,54320,2
Guyana + Spain,17620,2
Cyprus + Sierra Leone,12120,2
Cyprus + Djibouti,12785,2
Cyprus + Uzbekistan,12660,2
Antigua and Barbuda + Cyprus,21365,2
Cyprus + Dominican Republic,15900,2
Bangladesh + Cyprus,12880,2
Argentina + Cyprus,16790,2
Bosnia and Herzegovina + Cyprus,14805,2
Cyprus + Panama,19580,2
Cyprus + Jamaica,14410,2
Cyprus + Trinidad and Tobago,20110,2
Cyprus + Iran,14535,2
Bahrain + Cyprus,22925,2
Albania + Cyprus,14855,2
Barbados + Cyprus,21085,2
Cyprus + Luxembourg,67275,2
Cyprus + Guernsey,38415,2
Cyprus + Jersey,39010,2
Cyprus + Zambia,12465,2
Cyprus + Estonia,23565,2
Cyprus + Seychelles,18980,2
Egypt + Philippines,3410,2
Egypt + Liberia,2075,2
Egypt + Guinea,2165,2
Cameroon + Egypt,2545,2
Burma + Egypt,2435,2
Egypt + Venezuela,2870,2
Antigua and Barbuda + Egypt,11270,2
Egypt + Oman,9485,2
Egypt + Nepal,2255,2
Afghanistan + Egypt,2015,2
Egypt + Pakistan,2400,2
Egypt + Macedonia,4905,2
Egypt + Tanzania,2290,2
Egypt + Indonesia,3695,2
Armenia + Egypt,3960,2
Egypt + Jamaica,4315,2
Egypt + Trinidad and Tobago,10015,2
Egypt + Kazakhstan,6215,2
Chad + Egypt,2085,2
Egypt + Uganda,2110,2
Barbados + Egypt,10990,2
Egypt + Guernsey,28320,2
Egypt + Jersey,28915,2
Congo (Kinshasa) + Egypt,2005,2
Central African Republic + Egypt,1960,2
Congo (Brazzaville) + Egypt,2780,2
Egypt + Gabon,5570,2
Egypt + Mauritania,2380,2
Egypt + Seychelles,8885,2
Liberia + Sweden,26575,2
Gambia + Sweden,26470,2
Guinea + Sweden,26665,2
Cameroon + Sweden,27045,2
Djibouti + Sweden,27190,2
Burma + Sweden,26935,2
Bahamas + Sweden,41760,2
Sweden + Uzbekistan,27065,2
Guadeloupe + Sweden,37590,2
Martinique + Sweden,38350,2
Saint Lucia + Sweden,31405,2
Macedonia + Sweden,29405,2
Bosnia and Herzegovina + Sweden,29210,2
Indonesia + Sweden,28195,2
Chile + Sweden,34775,2
Sweden + Tajikistan,26720,2
Puerto Rico + Sweden,48825,2
Bahrain + Sweden,37330,2
Bermuda + Sweden,87095,2
El Salvador + Sweden,28350,2
Guernsey + Sweden,52820,2
Ethiopia + Sweden,26645,2
Congo (Kinshasa) + Sweden,26505,2
Central African Republic + Sweden,26460,2
Congo (Brazzaville) + Sweden,27280,2
Gabon + Sweden,30070,2
Slovenia + Sweden,41715,2
Mauritania + Sweden,26880,2
Sweden + Zambia,26870,2
